,filename,compStages,auxStages,Away %,Home %,Sleep %,Awake %,TOU %,Custom Schedule %,Smart Away %,Smart Home %,DR %,Hold %,TOU Event %,Custom Event %,Sq. Ft.,Floors,Age,Style,State,City
4694,8acc078ef2845097a9a33e25c193ea0b168a699f.csv,0,1,0,0.585472907,0.39337588,0,0,0.021151213,0.149525626,0,0,0.187989045,0,0.662485329,1000,3,90,multiPlex,NY,Utica
4696,8ad4da7497af0f7c52b23b069e2f7ecfd54d96c0.csv,0,1,0,0.686291777,0.282572231,0,0,0.031135992,0,0,0,0.530716652,0,0.469283348,0,0,0,,NY,Armonk
4704,8b1d9bfdaf70d9e20d46851dcb9ac77753b7e778.csv,1,1,0,0.625511989,0.333195269,0,0,0.041292742,0.028130609,0,0,0.510803534,0,0.461065857,3000,3,50,detached,NY,Shawangunk
4714,8b41306f92443110d727c3155158402dadc87859.csv,0,1,0,0.569788797,0.405599556,0,0,0.024611647,0.081334175,0,0,0.03112565,0,0.887540174,3000,3,35,detached,NY,Irvington
4715,8b4ea0efe38b3a76fb320205881e2d3651ae74f8.csv,0,1,0.358879655,0.235601339,0.369152047,0,0,0.036366959,0,0,0,0.07916859,0,0.92083141,2000,3,20,townhouse,NY,Ithaca
4718,8b6b4c7b3117f93677c9f3c34865cec7d87d4dd0.csv,1,2,0,0.66346601,0.322973092,0,0,0.013560898,0,0,0,0.338909347,0,0.661090653,2500,2,29,townhouse,NY,Fairport
4719,8b799808b1d8a413d1b7c8532904a083cbc6c395.csv,1,0,0,0.120325109,0.842847998,0,0,0.036826893,0,0,0,0.866998371,0,0.133001629,2000,1,10,condominium,NY,Long Island City
4720,8b79b9f43c7ebdd9a643a2e61383e44140de869a.csv,0,1,0,0.605902778,0.348030412,0,0,0.04606681,0,0,0,0.952227011,0,0.047772989,501,1,9,Loft,NY,Hermon
4721,8b7add7fee6944aab82c19ee070d99196df2ee57.csv,0,1,0,0.647035256,0.324738629,0,0,0.028226114,0.037851038,0,0,0.09035409,0,0.871794872,2500,3,35,other,NY,Warrensburg
4732,8bc8949978fa149112aeb47e711a932c9a4d3801.csv,0,1,0,0.405664902,0.283647944,0,0,0.310687155,0.02919736,0,0,0.103312999,0,0.867489641,3000,2,65,detached,NY,Hamburg
4733,8bcbbbfc2aac2f685cdae2e4917fe2b908735806.csv,0,1,0,0.70324353,0.289923583,0,0,0.006832887,0,0,0,0.917684627,0,0.082315373,500,1,29,Other,NY,Babylon
4735,8bcffed3ed603b05f34a24acd02af383ad43c13f.csv,0,1,0.262925443,0.206883394,0.320503281,0,0,0.209687882,0.002594628,0.065132784,0,0.005990537,0,0.926282051,3500,4,120,rowHouse,NY,New York
4737,8bf61a279cb0b9e9c4ea99155647955b4610bba4.csv,0,2,0,0.606465583,0.363581731,0,0,0.029952686,8.59E-05,0,0,0.840554411,0,0.159359737,2500,2,50,detached,NY,Pittsford
4739,8c07f7d32a9deb7b27d30f2ab9d5eff1410475bf.csv,0,0,0.116678145,0.544335399,0.334854224,0,0,0.004132231,0,0,0,0.033488292,0,0.966511708,0,0,0,,NY,Rye Brook
4743,8c2d5e8d4d84ee1708405a221074231dda1010c0.csv,0,1,0.234022054,0.374341804,0.362723214,0,0,0.028912927,0,0,0,0.036649115,0,0.963350885,3000,3,55,detached,NY,Newburgh town
4745,8c73b027b3080fb798f6cf28e69535e45444dddb.csv,0,1,0,0.509354913,0.466196051,0,0,0.024449036,0,0,0,0.933090373,0,0.066909627,0,0,0,,NY,bronxville
4748,8c8092f636a0fd5b81143a1f40236f41b4edd0f0.csv,0,1,0,0.086023083,0.881201095,0,0,0.032775822,0,0,0,0.023552426,0,0.976447574,3000,3,90,detached,NY,Williamson
4750,8c95caa719b0c40a90e43d5dfc44f7e55d1ba102.csv,2,2,0.012534341,0.672933837,0.286754045,0,0,0.027777778,0.000429258,0,0,0.887362637,0,0.112208104,0,0,0,,NY,Brooklyn
4755,8cb5ee51b1334e9fc09f11bafe42bd0820a8b5a7.csv,0,1,0,0.647913932,0.318587678,0,0,0.033498389,0,0,0,0.01514338,0,0.98485662,1500,1,90,apartment,NY,New York
4757,8cc6b5a76418ff1ac1034224c38ac058a114436b.csv,0,1,0,0.687080281,0.283463065,0,0,0.029456654,0,0,0,0.946724283,0,0.053275717,4500,3,5,other,NY,Brewster
4760,8cd788e6003133ced8ed460cde90d2ca32c6f5eb.csv,0,1,0,0.69050352,0.283392639,0,0,0.026103841,0,0,0,0.951532369,0,0.048467631,1000,1,5,condominium,NY,New York
